Security;IEMA LN Equity;
Start Date;31/12/2025 0:00;
End Date;06/03/2026 0:00;
Period;D;
Currency;USD;
;;
Date;PX_BID;PX_ASK
06/03/2026;54,91;54,93
05/03/2026;55,02;55,06
04/03/2026;56,3;56,33
03/03/2026;55,17;55,23
02/03/2026;58,39;58,41
27/02/2026;59,76;59,79
26/02/2026;59,88;59,94
25/02/2026;60,37;60,44
24/02/2026;59,9;59,95
23/02/2026;58,97;58,98
20/02/2026;59,13;59,18
19/02/2026;58,25;58,33
18/02/2026;58,75;58,82
17/02/2026;58,01;58,04
16/02/2026;58,23;58,27
13/02/2026;58,07;58,11
12/02/2026;58,11;58,17
11/02/2026;58,41;58,43
10/02/2026;57,93;57,95
09/02/2026;57,79;57,8
06/02/2026;57,03;57,04
05/02/2026;56,17;56,21
04/02/2026;56,41;56,42
03/02/2026;57,02;57,07
02/02/2026;56,38;56,42
30/01/2026;56,73;56,74
29/01/2026;57,18;57,25
28/01/2026;57,61;57,66
27/01/2026;57,35;57,4
26/01/2026;56,54;56,55
23/01/2026;56,04;56,08
22/01/2026;56,15;56,19
21/01/2026;55,57;55,63
20/01/2026;55,03;55,07
19/01/2026;55,37;55,42
16/01/2026;55,07;55,12
15/01/2026;55,61;55,64
14/01/2026;55,01;55,06
13/01/2026;55,02;55,07
12/01/2026;55,09;55,13
09/01/2026;54,38;54,42
08/01/2026;54,09;54,13
07/01/2026;54,43;54,48
06/01/2026;54,69;54,73
05/01/2026;54,23;54,26
02/01/2026;53,44;53,51
31/12/2025;52,39;52,46
