,IWDA.L,VGK,EWJ,IUSN.DE,IEMA.L,MCHI,EWZ,INDA,EWT,EWY,XLY,XLC,XLF,KBE,XLE,XOP,XLI,IYT,XLB,ITB,XLV,XBI,XLP,XLU,XLK,SOXX,IGV,CIBR,BOTZ,VNQ,LIT,GLD,SLV,DBA,COPX,TLT,IEF,TIP,HYG,LQD,EMB
IWDA.L,0.023894755734074326,0.009749992141758198,0.009131343306353177,0.02013093096508896,0.018117968273541188,0.013251801345973126,0.010986406730998356,0.013290521693278486,0.010325143765377385,0.012543833500301494,0.013431187322588238,0.008297933214455273,0.012292035213213478,0.017154064965929375,0.011045334595758948,0.011000224031905145,0.011276650898936624,0.011698638518439821,0.012441079510409306,0.011598621759964074,0.00733330116869136,0.012671460078880196,0.0060042879749728165,0.006640181832297764,0.012774371306836844,0.017451605557139982,0.01382944379838092,0.013522674068096093,0.014483499029343178,0.009211871815934058,0.0178896635410428,0.0010000360866433086,0.003702620636756025,0.0018550082549196266,0.021207801020346233,-0.005796628260503614,-0.0014705184513704823,-0.0007107806131457332,0.00269759862996242,6.80972044434039e-05,0.0026390327802934847
VGK,0.009749992141758198,0.021422553635461656,0.012810289239306936,0.011783026174660437,0.01215604153980443,0.019387079828570134,0.023321250415438873,0.017957566163737296,0.015094828473315149,0.019580501150979195,0.018046561350820396,0.012273997370958765,0.015262293869685827,0.021671547092534778,0.019927514210325237,0.025081131269086294,0.014446883359566414,0.016281332710311174,0.01676158187410297,0.020872712481582942,0.009115413992009153,0.02402520999006713,0.00851631964657314,0.006969930712109379,0.018077433955051778,0.03148196539803798,0.01850436876311192,0.01614860995190146,0.022486328531607744,0.01083265268964212,0.03442144696674072,0.004413729952839462,0.01089963103801182,0.004383005404723916,0.033450072102245064,-0.0050700766292537825,-0.000968820223160021,0.00077298288454422,0.004002145472545398,0.0013179239089811602,0.0053788599185151725
EWJ,0.009131343306353177,0.012810289239306936,0.02708065948375352,0.01235538859761409,0.013745486572723252,0.024014676887918914,0.02374938302520404,0.01680941618059124,0.014555895595299725,0.020685615400788365,0.01781313866515257,0.012107194455489202,0.016214191914222326,0.023081565171653058,0.0211212326684553,0.0263397145941942,0.015367821546875396,0.01780937292273408,0.017132203662385714,0.018685069804977434,0.009225475573404342,0.027024986667933352,0.01010607510475753,0.008891608825290633,0.016796008922547925,0.030772634863348206,0.01752359868244062,0.01535272547765213,0.02578554104578453,0.012257844548786197,0.031374190080361894,0.0025194613214578644,0.007294306351724343,0.0022297880251494623,0.02954647903977569,-0.005154915867878833,-0.00131182417169203,2.5738381125617028e-05,0.003505375713624481,0.0007334330072455292,0.004445331604016566
IUSN.DE,0.02013093096508896,0.011783026174660437,0.01235538859761409,0.03975678464924354,0.019370626196946943,0.01271722141463905,0.010635630364798414,0.015791185825247026,0.01084972293541453,0.012485185857662277,0.01731082463797741,0.006697287262191773,0.020273468346218765,0.031233231033984107,0.02171402604138574,0.025981067849262053,0.01813741232738415,0.019435987810099156,0.018741514354444336,0.01962711431361164,0.008490591937151917,0.02191458534748716,0.006666659568879583,0.00850646258973448,0.013555541435593742,0.021682508046351925,0.013924507255324677,0.016403183780336034,0.01865154916422959,0.013091857261662043,0.024557703518976053,-0.0005814641958404936,0.0013920520695390145,0.0031737151061628143,0.02536757729448058,-0.008178207281218366,-0.00223670661849461,-0.0013028897802917108,0.00339988357908445,6.279355522850137e-05,0.002686691008394002
IEMA.L,0.018117968273541188,0.01215604153980443,0.013745486572723252,0.019370626196946943,0.04158144636761463,0.0413068216530762,0.026530387939674865,0.023380326754668633,0.021035108695641517,0.029457731252018032,0.017781318038999717,0.011751605444698957,0.009565589201778696,0.012652362787824488,0.010993927208882358,0.014814804655299243,0.009194354148127193,0.010836918790387317,0.011529428215283233,0.0076302427848741914,0.0073367760755262135,0.02721657987878858,0.004105997335542626,0.0060240409843099665,0.018842644131376898,0.0337464828488244,0.023398960566932164,0.02148966046850812,0.0247975165869032,0.008458193257744778,0.038551158341952434,0.0024430812855608915,0.004256585942330176,0.0028550949427347313,0.03273847505158187,-0.006330589257421757,-0.0016015668566086538,-0.0007562614501490359,0.0037908745726238586,0.0004504773059882341,0.005294324885239477
MCHI,0.013251801345973126,0.019387079828570134,0.024014676887918914,0.01271722141463905,0.0413068216530762,0.10329133922932418,0.04948566208013754,0.038716004068981826,0.03861868825434787,0.05211001732796211,0.03888507745449679,0.03163765530093194,0.009158403105141422,0.01101055913461957,0.013560268224996255,0.024148989216920262,0.011265093185031239,0.01829308509132256,0.016286246516529948,0.030046803772051295,0.01588222112172613,0.07063027289659604,0.008635368677271299,0.00872438443889267,0.04965799264259982,0.0873982997910107,0.06157160834924959,0.04997660819390828,0.05193907746062208,0.014678629023134899,0.09484368774896756,0.007991041119323698,0.012876922159834436,0.004258848206073086,0.06175452423859348,0.002752052303886476,0.0022230590467708046,0.003434404427798075,0.007107596460844358,0.006713217047561127,0.01552745901313047
EWZ,0.010986406730998356,0.023321250415438873,0.02374938302520404,0.010635630364798414,0.026530387939674865,0.04948566208013754,0.11641788085531797,0.04023512951771572,0.02963485280386892,0.04039395295279581,0.0355673514656144,0.025154902640473674,0.025821533378727096,0.03630078858880679,0.041216664348095615,0.0619403772395476,0.025294010288195508,0.028188526639307585,0.026462596694256428,0.03782704626234786,0.010706407820326107,0.05753578763315248,0.014520274273843507,0.009557822203933378,0.033348225804364084,0.06354188371892854,0.039830541743595696,0.03154547576618241,0.04445755100915064,0.018949761958564442,0.07012500947653964,0.007264150942728658,0.015808798759429955,0.011047247594576773,0.05586508531347766,-0.008743626568340405,-0.0013943109797105138,0.0015103370278349907,0.008365919374864323,0.00449663204298253,0.013833351614006591
INDA,0.013290521693278486,0.017957566163737296,0.01680941618059124,0.015791185825247026,0.023380326754668633,0.038716004068981826,0.04023512951771572,0.05168983893724372,0.02628736929681334,0.033111105649208473,0.026515972629283308,0.019643413745390612,0.016781190348598526,0.02083351936160487,0.027975982360960626,0.03630035025283095,0.015745891944007762,0.018927199472191392,0.02015151214148548,0.02464059247635242,0.012215830686222446,0.03440267151862533,0.01166251475081724,0.010468629815531568,0.03023830478125242,0.04929815336046922,0.03477761547367166,0.029011653263358715,0.030407706886361976,0.013806246732629479,0.046267301986750275,0.006277356293742686,0.01234573013524704,0.0061771498154146245,0.042834821918382227,-0.002351813584314689,3.666663632130959e-05,0.001719197890019829,0.006136314689885196,0.003540463471538676,0.00973539374504424
EWT,0.010325143765377385,0.015094828473315149,0.014555895595299725,0.01084972293541453,0.021035108695641517,0.03861868825434787,0.02963485280386892,0.02628736929681334,0.03971421906501084,0.034605123182326926,0.02379727439759434,0.01606217505813063,0.014128252520020883,0.019327895693622907,0.021470213642946247,0.029939190095945256,0.01437413349106522,0.017918137886676344,0.01683666798872772,0.025169029928358337,0.011684102074231735,0.03905463122016506,0.008400952728273521,0.005348006673459066,0.02995974604632832,0.057669895713319576,0.032105214854146746,0.027258510072557942,0.03197762964667543,0.010883247543306388,0.056375650654685576,0.005069982795309614,0.009610983094174214,0.005244402240501155,0.046566040220972695,-0.00304394059098571,-0.00020230796199574244,0.0014227185199093056,0.004629085332907327,0.002165676629392265,0.007681998875150706
EWY,0.012543833500301494,0.019580501150979195,0.020685615400788365,0.012485185857662277,0.029457731252018032,0.05211001732796211,0.04039395295279581,0.033111105649208473,0.034605123182326926,0.0642618789635414,0.030334704035313367,0.020628360269491136,0.01572953147859804,0.02207719274348426,0.024803913211679875,0.035023125533854706,0.01736960294620083,0.02274674872130853,0.021373325828180384,0.030053399033947607,0.014690220402573775,0.04708084721061487,0.010337304388188346,0.009591647907300131,0.03392905385250121,0.06377256782424287,0.035852438298907524,0.028343259338734876,0.039804732731349005,0.013517734064698434,0.0648392143323939,0.0058200386836737665,0.01331742203105125,0.004893875764034005,0.05691964496811777,-0.004915298132906245,-0.0010901575251487806,0.0010573922146352517,0.005714834684573013,0.0017958475415082286,0.009590342327784298
