Ticker,Composite_Score,Prior_pi,View_Q,Confidence,mu_BL
IWDA.L,0.02715,0.056082,0.064824,0.3076,0.080365
VGK,0.896524,0.072396,0.361077,0.5507,0.162692
EWJ,0.237401,0.056215,0.132658,0.3664,0.090387
IUSN.DE,-0.188885,0.053851,-0.00697,0.3528,0.050182
IEMA.L,-0.055404,0.055512,0.037672,0.3155,0.095737
MCHI,0.132245,0.06292,0.105503,0.337,0.130412
EWZ,-0.573455,0.058726,-0.125927,0.4604,0.003257
INDA,-0.726088,0.04852,-0.18528,0.5031,0.010266
EWT,0.255909,0.058598,0.141,0.3716,0.113257
EWY,0.153419,0.071152,0.120553,0.3429,0.121978
XLY,-0.695288,0.078714,-0.145168,0.4945,0.076122
XLC,-0.146256,0.071538,0.024443,0.3409,0.094605
XLF,0.214893,0.078781,0.147976,0.3601,0.113565
KBE,-0.264338,0.10343,0.018313,0.3739,0.109578
XLE,0.260451,0.064001,0.147867,0.3728,0.122261
XOP,-0.287695,0.078915,-0.013723,0.3805,0.149165
XLI,0.464441,0.066341,0.21589,0.4299,0.106454
IYT,0.03564,0.071649,0.083125,0.31,0.099362
XLB,0.510112,0.075255,0.239511,0.4427,0.135997
ITB,0.984569,0.071877,0.388908,0.5754,0.132353
XLV,-0.155062,0.051812,0.001882,0.3434,0.049455
XBI,-0.327188,0.07833,-0.027025,0.3915,0.101777
XLP,-0.087359,0.044319,0.01619,0.3244,0.038921
XLU,-0.78314,0.05774,-0.194431,0.519,-0.008371
XLK,0.12524,0.072905,0.113232,0.335,0.108708
SOXX,0.852882,0.09062,0.365248,0.5385,0.202186
IGV,0.01038,0.078726,0.082069,0.3029,0.109725
CIBR,-0.149529,0.069641,0.021492,0.3418,0.091279
BOTZ,1.016485,0.082974,0.410282,0.5843,0.173468
VNQ,-0.490985,0.08146,-0.076637,0.4373,0.046949
LIT,-0.99267,0.076852,-0.242788,0.5776,0.071451
GLD,0.116332,0.042566,0.080026,0.3325,0.059937
SLV,0.150085,0.058565,0.106893,0.342,0.077795
DBA,-0.146904,0.032723,-0.01458,0.3411,0.025964
COPX,1.421385,0.085758,0.543444,0.6975,0.256576
TLT,-0.63004,0.041313,-0.16156,0.4762,-0.053428
IEF,-0.402464,0.036064,-0.093529,0.4126,-0.016443
TIP,-0.304917,0.036473,-0.06171,0.3853,-0.008738
HYG,-0.026691,0.049678,0.041084,0.3075,0.047406
LQD,-0.198895,0.041668,-0.022377,0.3556,0.007196
EMB,-0.074608,0.045985,0.021961,0.3209,0.033977
BITO,2.145264,0.111612,0.802387,0.9,0.465859
