,IWDA.L,VGK,EWJ,IUSN.DE,IEMA.L,MCHI,EWZ,INDA,EWT,EWY,XLY,XLC,XLF,KBE,XLE,XOP,XLI,IYT,XLB,ITB,XLV,XBI,XLP,XLU,XLK,SOXX,IGV,CIBR,BOTZ,VNQ,LIT,GLD,SLV,DBA,COPX,TLT,IEF,TIP,HYG,LQD,EMB,BITO
IWDA.L,0.011005187369920625,0.007845670474501194,0.00676174233766102,0.007330296623856574,0.008632451700324485,0.009216807776935766,0.004852857697345749,0.0027022045015621093,0.008409439687221576,0.008794487027105984,0.008439420895890821,0.007185348774556202,0.005828492660247794,0.011422613985721789,0.006678682866253012,0.008389767040407997,0.0051674592261418215,0.008227617676917084,0.007218431637462851,0.008577985196112031,0.003195191056316471,0.006288619216519084,0.002658124838268749,0.0033203279874799816,0.007552966649422581,0.01193288835292855,0.008080576359252113,0.007144131719742591,0.010640956023257053,0.005797669735213178,0.009825216161288028,0.0015277759282164936,0.005626304871783158,0.002625061060681761,0.013783176228340098,0.0015277052131490946,0.0007617361550098468,0.0009154793922497039,0.00336979411418809,0.0020694701322570824,0.0035616129523905354,0.004704661336146096
VGK,0.007845670474501194,0.018674063884070044,0.011379242131797883,0.007139408442478229,0.012051337927854329,0.021562596098380175,0.010284293502210063,0.0056043635062813036,0.015049091925430903,0.016225803228268665,0.013372948507711088,0.011872535835301314,0.010097205209573084,0.01834719327398852,0.01136206964920989,0.014448635205576474,0.009013977618041272,0.014130411907161603,0.012938538418136324,0.01494172345653172,0.006960009625671691,0.012853754585719437,0.006306383951416819,0.00803840916840396,0.012289760329005608,0.01924065212119791,0.013095916544241323,0.011903223970825483,0.01731804143634865,0.01071325615216103,0.017902256587368624,0.005027569973824405,0.015325111898235683,0.004880280386333422,0.025989477524912742,0.0035731394704467644,0.0025819592462287483,0.00243593261814715,0.006264306218502944,0.004958404849511863,0.007076619849006089,0.01099334733769805
EWJ,0.00676174233766102,0.011379242131797883,0.020774191982535092,0.007498483962540644,0.010848068761331067,0.01829281776910413,0.010772250899442812,0.004413677420830693,0.014184675202329591,0.014997623866690356,0.012141417645000681,0.010792108162356956,0.008088079318973264,0.0170943970740274,0.009025052104364897,0.01221471982123295,0.007204410257681751,0.011099596800540304,0.010105087643709345,0.012970628794374005,0.003887665799151936,0.012077381896838425,0.004081468418573604,0.0034484010071454286,0.011141794831886936,0.017404830462423578,0.012190368572194328,0.010509025511649877,0.01837254468510477,0.007611794022686698,0.016947706500720236,0.0040019597037183555,0.009893141325070217,0.005148096358218335,0.022890912014789752,0.0029777261613965446,0.0018288717083322723,0.0014771414822549937,0.005168426084443827,0.0038684504445403575,0.005953264501333719,0.012298291280595949
IUSN.DE,0.007330296623856574,0.007139408442478229,0.007498483962540644,0.015432180079859317,0.008394163751767221,0.008984643661778568,0.00820968134831185,0.002916153184092416,0.007945797064225438,0.007787205675631237,0.009011640816598148,0.006798820767609327,0.007753291811100795,0.019745151911487333,0.010401952554757725,0.014056727056487067,0.006617688494159158,0.010009695843569123,0.00855809977469331,0.009984123334238995,0.0022664610595070894,0.009651821016036103,0.0019151295741188148,0.0035476642410507036,0.006273814281647239,0.012525723803757834,0.00718058611556251,0.007265231348996801,0.010417878964098595,0.007820143022242812,0.011461358644330417,-0.00039780094083803657,0.0021669135934608355,0.0020434668678713753,0.014478846972944076,0.000275170883205784,-0.00031496329219801624,0.00027177337173845014,0.003399612150391058,0.0014665234452020425,0.002952782561539263,0.006511886285803712
IEMA.L,0.008632451700324485,0.012051337927854329,0.010848068761331067,0.008394163751767221,0.02258652826948607,0.03141064238692286,0.013620800429398745,0.005109759315909516,0.017359367916502853,0.020445826771589563,0.011234006928855404,0.008888260738534867,0.007340480213113745,0.017060635871639786,0.01068355644303731,0.013795404089525232,0.00661125952121943,0.0106231879267324,0.011318929651798716,0.012049896291186083,0.0025103660912082003,0.010024135916394793,0.0032045777457579343,0.004052432727165676,0.009223865290521115,0.01819977915067851,0.00916676953558518,0.008392433772567468,0.01506637763486673,0.008423415318571222,0.020294656861773945,0.0040785120628977585,0.014106089468710448,0.005676149152176516,0.028593247888690217,0.0013155177293149938,0.0012387019818649694,0.0014670389634847659,0.004638836161208453,0.0028389577052312267,0.005244278250892587,0.009413222402759729
MCHI,0.009216807776935766,0.021562596098380175,0.01829281776910413,0.008984643661778568,0.03141064238692286,0.08498412660819306,0.021962181400522553,0.009583271013163306,0.02856040004175949,0.03523836507982711,0.020000991102453555,0.018071115412869508,0.01239980033011186,0.02621626341695069,0.016031731821784835,0.022952203213527735,0.010771630244609446,0.019408304296063023,0.018870778468659102,0.019143337563046363,0.005954903581824754,0.023223091368838295,0.009090428177034452,0.009707731526782932,0.01455385163356901,0.027949441820017656,0.01650747364835839,0.01578243417800447,0.02396847631419626,0.015907805935435088,0.04154350860521443,0.00988218650975472,0.029688934894556956,0.009426916395426841,0.05208915440858111,0.004873281327344039,0.004040051637420826,0.003770602078479516,0.00885507521936569,0.006888596340818567,0.010298128844889178,0.017258329531134906
EWZ,0.004852857697345749,0.010284293502210063,0.010772250899442812,0.00820968134831185,0.013620800429398745,0.021962181400522553,0.054030784678922666,0.005034726679379582,0.013247099160205215,0.01631404875704392,0.011156475875642701,0.0053725649210936074,0.010173075323428324,0.022706042635705737,0.018470469259571513,0.02141839212061837,0.00841092616509526,0.010912053141575753,0.01221477388293421,0.010455290306234943,0.003952019176092102,0.011247214618609792,0.005683990059655116,0.00860636791378545,0.006195710966983448,0.011061930564616605,0.005886256921433641,0.0076562354529952255,0.010777720538107377,0.010043284428022636,0.020489007136589313,0.0036080285393123037,0.015493296961822153,0.009569804475576957,0.029185910633017932,0.002147621796805635,0.0012572174037955987,0.002048363904400355,0.004735103548847818,0.0036619387498648954,0.005625757817296131,0.013147347536585753
INDA,0.0027022045015621093,0.0056043635062813036,0.004413677420830693,0.002916153184092416,0.005109759315909516,0.009583271013163306,0.005034726679379582,0.00877084861644702,0.006469058118761186,0.0072938083547811425,0.0057417138383593445,0.004670085600049848,0.004410023327784842,0.007839936458930339,0.004909069544079386,0.006404027293645276,0.003991310795927726,0.006141752093331488,0.0053588835637598635,0.005377523078318149,0.0025553505085874275,0.007194483888463581,0.002331237881065006,0.003922238084248499,0.005302061314880366,0.008449394898421083,0.00548802231236429,0.005552464873494726,0.007411474361895367,0.005734679319771367,0.00846242379045898,0.0021692987949633053,0.00669823929330254,0.0024278433626987715,0.01041474108251937,0.001010759584815382,0.000889572721040365,0.0008248761761036232,0.002534005839452795,0.001973318838627362,0.002816091538294337,0.003869378369028608
EWT,0.008409439687221576,0.015049091925430903,0.014184675202329591,0.007945797064225438,0.017359367916502853,0.02856040004175949,0.013247099160205215,0.006469058118761186,0.03386825869480005,0.02662267763053295,0.018033255582388538,0.014748433267609972,0.010992313044019373,0.023091621412218627,0.01155059813650202,0.015082669383080474,0.010150992341592915,0.01665165057296818,0.014335693815913438,0.018622766264257948,0.004724167895292017,0.013491516768329945,0.005436354116868022,0.005718539519988942,0.018368264542113204,0.032739943919580246,0.01830196666383238,0.015214540517116626,0.023880757970025097,0.011804859528746749,0.022667197356381074,0.004522820587671605,0.015559934246875531,0.0042860744548644004,0.030927080763108596,0.00278656518990752,0.002070993654859712,0.0021388472544864243,0.006629798591586946,0.004682049068543028,0.008115378459239094,0.01411236284131312
EWY,0.008794487027105984,0.016225803228268665,0.014997623866690356,0.007787205675631237,0.020445826771589563,0.03523836507982711,0.01631404875704392,0.0072938083547811425,0.02662267763053295,0.04053226054730472,0.01948204521720937,0.014759047177996823,0.01159209589762562,0.02439255016538804,0.014267496657597398,0.018327515213731622,0.009906907761998294,0.015625118457650054,0.015727612155331173,0.01790863435223343,0.006408169737663075,0.01680344186114335,0.006463106649823462,0.008587649134414971,0.016595878825216258,0.02785992119152457,0.018746542544582495,0.016211123331575244,0.02422232497174122,0.013908752486884463,0.02912941719590055,0.007987041729752113,0.02435899903472611,0.007692363969189446,0.03608741318083017,0.0032289083935698546,0.002830893153041928,0.002769148675499214,0.007649740401386308,0.00543785500899925,0.008905331363248972,0.01437436135253686
