Ticker,ct (fraccion motor),Comision_pct_nominal,Comision_bps
BITO,0.0008,0.08,8.0
BOTZ,0.0008,0.08,8.0
CIBR,0.0008,0.08,8.0
COPX,0.0008,0.08,8.0
DBA,0.0008,0.08,8.0
EMB,0.0008,0.08,8.0
EWJ,0.0008,0.08,8.0
EWT,0.0008,0.08,8.0
EWY,0.0008,0.08,8.0
EWZ,0.0008,0.08,8.0
GLD,0.0008,0.08,8.0
HYG,0.0008,0.08,8.0
IEF,0.0008,0.08,8.0
IEMA.L,0.0008,0.08,8.0
IGV,0.0008,0.08,8.0
INDA,0.0008,0.08,8.0
ITB,0.0008,0.08,8.0
IUSN.DE,0.0008,0.08,8.0
IWDA.L,0.0008,0.08,8.0
IYT,0.0008,0.08,8.0
KBE,0.0008,0.08,8.0
LIT,0.0008,0.08,8.0
LQD,0.0008,0.08,8.0
MCHI,0.0008,0.08,8.0
SLV,0.0008,0.08,8.0
SOXX,0.0008,0.08,8.0
TIP,0.0008,0.08,8.0
TLT,0.0008,0.08,8.0
VGK,0.0008,0.08,8.0
VNQ,0.0008,0.08,8.0
XBI,0.0008,0.08,8.0
XEON.DE,0.0008,0.08,8.0
XLB,0.0008,0.08,8.0
XLC,0.0008,0.08,8.0
XLE,0.0008,0.08,8.0
XLF,0.0008,0.08,8.0
XLI,0.0008,0.08,8.0
XLK,0.0008,0.08,8.0
XLP,0.0008,0.08,8.0
XLU,0.0008,0.08,8.0
XLV,0.0008,0.08,8.0
XLY,0.0008,0.08,8.0
XOP,0.0008,0.08,8.0
