Date,Portfolio Value,Rebalance,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2020-01-31,100000.0,True,"IWDA.L, VGK, EWJ, XLF, ITB, XLV, XLP, XLK, SOXX, GLD, SLV",11,0.0167,normal,"rebalance: EWJ peso=0.0000 fuera de [0.0258, 0.0658]"
2020-02-28,93681.95,True,"IWDA.L, VGK, EWJ, INDA, XLF, XLI, ITB, XLV, XLP, XLU, XLK, SOXX, BOTZ, LIT, GLD, SLV",16,0.2076,normal,"rebalance: BOTZ peso=0.0000 fuera de [0.0251, 0.0651]"
2020-03-31,83446.04,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, MCHI, EWZ, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, BOTZ, LIT, VNQ, GLD, SLV, DBA, TLT, IEF, TIP",27,0.4,crisis,"rebalance: BOTZ peso=0.0451 fuera de [0.0007, 0.0407]"
2020-04-30,87533.61,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, INDA, XLF, XLI, XLV, XLP, XLU, XLK, SOXX, CIBR, BOTZ, LIT, VNQ, GLD, DBA, IEF, TIP",21,0.4254,crisis,"rebalance: DBA peso=0.0302 fuera de [0.0658, 0.1058]"
2020-05-29,89095.94,True,"IWDA.L, EWJ, IEMA.L, MCHI, INDA, XLF, XLI, XLV, XLP, XLU, XLK, SOXX, CIBR, BOTZ, LIT, VNQ, GLD, DBA, IEF, TIP",20,0.1697,caution,"rebalance: GLD peso=0.0366 fuera de [0.0639, 0.1039]"
2020-06-30,90662.73,True,"IWDA.L, VGK, EWJ, IUSN.DE, MCHI, XLF, XLI, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, BOTZ, LIT, VNQ, GLD, DBA, IEF, TIP",21,0.1568,caution,"rebalance: CIBR peso=0.0345 fuera de [0.0366, 0.0766]"
2020-07-31,94912.07,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, XLI, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, BOTZ, LIT, VNQ, DBA, IEF, TIP",19,0.008,normal,"rebalance: CIBR peso=0.0584 fuera de [0.0075, 0.0475]"
2020-08-31,99060.63,True,"IWDA.L, IEMA.L, MCHI, EWZ, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, BOTZ, LIT, VNQ, GLD, DBA, IEF, TIP",18,0.0121,normal,"rebalance: CIBR peso=0.0265 fuera de [0.0275, 0.0675]"
2020-09-30,98138.68,True,"IWDA.L, IEMA.L, MCHI, INDA, XLI, ITB, XLV, XLP, XLK, SOXX, CIBR, BOTZ, LIT, GLD, SLV",15,0.2849,normal,"rebalance: BOTZ peso=0.0848 fuera de [0.1254, 0.1654]"
2020-10-30,97358.28,True,"IWDA.L, VGK, EWJ, INDA, XLI, ITB, XLV, XLP, XLK, SOXX, CIBR, BOTZ, LIT, VNQ, SLV",15,0.0179,normal,"rebalance: BOTZ peso=0.1457 fuera de [0.1805, 0.2205]"
2020-11-30,108530.58,True,"EWJ, IEMA.L, MCHI, INDA, XLF, XLI, ITB, XLP, XLU, SOXX, BOTZ, LIT, GLD, SLV, DBA, IEF, TIP",17,0.0182,normal,"rebalance: BOTZ peso=0.2053 fuera de [0.1040, 0.1440]"
2020-12-31,113989.52,True,"IWDA.L, EWJ, IEMA.L, MCHI, INDA, XLI, ITB, XLP, XLU, XLK, SOXX, BOTZ, LIT, DBA, IEF, TIP",16,0.0,normal,"rebalance: DBA peso=0.0615 fuera de [0.0095, 0.0495]"
