Date,Portfolio Value,Rebalance,Trade Cost EUR,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2020-01-31,99920.0,True,80.0,"IWDA.L, VGK, EWJ, EWT, XLC, XLF, ITB, XLV, XBI, XLK, SOXX, GLD, SLV",13,0.0165,normal,"rebalance: EWJ peso=0.0000 fuera de [0.0396, 0.0796]"
2020-02-28,93310.78,True,68.88,"MCHI, EWT, EWY, XLF, ITB, XLV, XLP, XLU, XLK, SOXX, IGV, BOTZ, LIT, GLD",14,0.0161,normal,"rebalance: BOTZ peso=0.0000 fuera de [0.0164, 0.0564]"
2020-03-31,79493.78,True,74.87,"IWDA.L, MCHI, EWT, XLC, ITB, XLV, XBI, XLK, SOXX, IGV, BOTZ, LIT, GLD, DBA, TLT, IEF, TIP, HYG, LQD, EMB",20,0.0,crisis,"rebalance: DBA peso=0.0000 fuera de [0.0560, 0.0960]"
2020-04-30,87399.57,True,53.79,"IWDA.L, EWJ, MCHI, EWT, XLC, XLV, XBI, XLP, XLK, IGV, CIBR, BOTZ, GLD, DBA, TLT, IEF, TIP, HYG, LQD",19,0.0085,crisis,"rebalance: CIBR peso=0.0000 fuera de [0.0128, 0.0528]"
2020-05-29,90958.69,True,43.09,"MCHI, EWT, XLY, XLC, XLV, XBI, XLP, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, DBA, TLT, IEF, TIP, HYG, LQD",20,0.0,caution,"rebalance: DBA peso=0.0736 fuera de [0.0272, 0.0672]"
2020-06-30,93728.47,True,44.26,"EWJ, MCHI, XLY, XLC, XLV, XLP, XLU, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, TLT, IEF, TIP, HYG, LQD",19,0.007,caution,"rebalance: DBA peso=0.0453 fuera de [0.0000, 0.0200]"
2020-07-31,100544.15,True,52.91,"IWDA.L, EWT, XLY, XLC, XLB, XLV, XBI, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, TLT, IEF, TIP, HYG, LQD, EMB",20,0.0,normal,"rebalance: EWJ peso=0.0424 fuera de [0.0000, 0.0200]"
2020-08-31,105132.45,True,42.6,"EWT, XLY, XLC, XLB, ITB, XLV, XLP, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, TLT, IEF, TIP, HYG, LQD, EMB",20,0.0,normal,"rebalance: ITB peso=0.0000 fuera de [0.0709, 0.1109]"
2020-09-30,104203.3,True,77.24,"IWDA.L, XLY, XLC, IYT, XLB, ITB, XLK, SOXX, IGV, CIBR, BOTZ, LIT, SLV, COPX",14,0.0,normal,"rebalance: COPX peso=0.0000 fuera de [0.0425, 0.0825]"
2020-10-30,103326.69,True,50.62,"INDA, EWT, EWY, XLY, IYT, XLB, ITB, SOXX, IGV, BOTZ, LIT, SLV, COPX",13,0.0086,normal,"rebalance: BOTZ peso=0.0248 fuera de [0.0292, 0.0692]"
2020-11-30,116705.93,True,42.47,"IEMA.L, MCHI, INDA, EWT, EWY, XLY, XLI, IYT, XLB, ITB, XLU, SOXX, BOTZ, LIT, SLV, COPX",16,0.0,normal,"rebalance: COPX peso=0.1076 fuera de [0.0423, 0.0823]"
2020-12-31,124945.31,True,51.91,"IEMA.L, INDA, EWT, EWY, XLY, XLI, IYT, XLB, ITB, XBI, SOXX, BOTZ, LIT, COPX",14,0.0,normal,"rebalance: COPX peso=0.0661 fuera de [0.0990, 0.1390]"
2021-01-29,126379.75,True,80.47,"EWZ, INDA, EWT, EWY, KBE, XLI, IYT, XBI, SOXX, CIBR, BOTZ, LIT, SLV, COPX",14,0.0052,normal,"rebalance: CIBR peso=0.0000 fuera de [0.0377, 0.0777]"
2021-02-26,130588.47,True,95.81,"EWJ, IUSN.DE, IEMA.L, INDA, EWT, EWY, KBE, XBI, SOXX, CIBR, BOTZ, LIT, COPX",13,0.0,normal,"rebalance: BOTZ peso=0.0553 fuera de [0.0583, 0.0983]"
2021-03-31,130700.96,True,79.24,"IUSN.DE, INDA, EWT, EWY, XLC, XLF, KBE, XLE, XOP, XBI, SOXX, CIBR, BOTZ, LIT, DBA, COPX",16,0.0179,normal,"rebalance: BOTZ peso=0.0770 fuera de [0.0104, 0.0504]"
