Fold,Train Start,Train End,Test Start,Test End,Rebalances,Strategy Total Return,Strategy CAGR,Strategy Volatility,Strategy Sharpe,Strategy Max Drawdown,SP500 Total Return,SP500 CAGR,SP500 Volatility,SP500 Sharpe,SP500 Max Drawdown
1,2020-01-01,2020-12-31,2021-01-01,2021-03-31,3,0.02722334721771369,0.12234062386376876,0.19965224842415943,0.6378121201682374,-0.0879042238115479,0.07384389221539323,0.3581756727662304,0.153855246083271,2.36050236837338,-0.040597050016272326
2,2020-04-01,2021-03-31,2021-04-01,2021-06-30,3,0.033763852556092155,0.1459989405815989,0.11077090383995075,1.3631642908662398,-0.041005848853838775,0.07111488291327395,0.325699685649242,0.11007574350432221,3.004292091256752,-0.0395856358423696
3,2020-07-01,2021-06-30,2021-07-01,2021-09-30,3,-0.01427779918755634,-0.05669131404085126,0.09343165969734618,-0.5532526576997058,-0.04603253302931466,0.012573109525880088,0.05201540342038635,0.10733632858526211,0.5311845874726042,-0.04009544419473253
4,2020-10-01,2021-09-30,2021-10-01,2021-12-31,3,-0.00027355770769854626,-0.0011097240420927523,0.11906080033685418,0.03267470021115798,-0.06682833976570783,0.10038895774769196,0.4743765823489201,0.1364605689821279,3.5129311413885684,-0.04093845074737665
5,2021-01-01,2021-12-31,2022-01-01,2022-03-31,3,0.03288444076010144,0.1473053718742876,0.11525942675040038,1.321413581243224,-0.052524313184752106,-0.03681108850246284,-0.1472512022104221,0.21265580174516965,-0.6689269751543623,-0.12865559370365212
6,2021-04-01,2022-03-31,2022-04-01,2022-06-30,3,-0.05710982035625656,-0.21442052599572614,0.1975220284478932,-1.0602388383783319,-0.1046496516463881,-0.15662156884316092,-0.5029486172256624,0.28513659100026634,-1.746351162714144,-0.19735110072751602
7,2021-07-01,2022-06-30,2022-07-01,2022-09-30,3,-0.07501489154706342,-0.27127529932596517,0.12333801597377939,-2.219091770595921,-0.10320225985639638,-0.044485671848617736,-0.16862686738971988,0.21056757846040514,-0.8123280210726307,-0.15224521536410252
8,2021-10-01,2022-09-30,2022-10-01,2022-12-31,3,0.003183826912478871,0.013281119466749036,0.13694184651597952,-0.006561676040684267,-0.05058744892158588,0.04794236326423129,0.21453980688797403,0.2454003018875211,0.8164623997887697,-0.07184630432652683
9,2022-01-01,2022-12-31,2023-01-01,2023-03-31,3,-0.013672408222353605,-0.05615805408987751,0.12172743547057598,-0.6525998332485993,-0.07607748898210544,,,0.16615311750633485,,-0.0753874932966278
10,2022-04-01,2023-03-31,2023-04-01,2023-06-30,3,0.03674383633991973,0.1635716223027519,0.09733721501263093,1.3380112524538355,-0.026366404233270534,0.07005065354017237,0.3287629696326462,0.11590104145114273,2.548981722686669,-0.02596585478734816
11,2022-07-01,2023-06-30,2023-07-01,2023-09-30,3,-0.0765885578179758,-0.28159287206792305,0.10793759423060173,-2.948788900003042,-0.08318640210018755,-0.033353766284065056,-0.13133561396458548,0.10699813712953371,-1.57038174836143,-0.06642315852054552
12,2022-10-01,2023-09-30,2023-10-01,2023-12-31,3,0.1377237244419096,0.7083805509624304,0.09173531160855826,7.285968066631336,-0.008594040047953819,0.1168405226769269,0.5819421400680529,0.1208629004487876,4.4839412098809115,-0.05876436727697073
13,2023-01-01,2023-12-31,2024-01-01,2024-03-31,3,0.1134254394764811,0.5782441978029684,0.09608708814926226,5.601628774168457,-0.019393945321366565,0.11011342537521074,0.5584015680773278,0.10757262418903567,4.819084520670881,-0.017078226166418006
14,2023-04-01,2024-03-31,2024-04-01,2024-06-30,3,0.04222576658231603,0.18727603015897665,0.09740387541370137,1.51991140290279,-0.0266682079750742,0.045609925463475864,0.20335910583651962,0.1040294151289082,1.5777108465175018,-0.05170830304299845
15,2023-07-01,2024-06-30,2024-07-01,2024-09-30,3,0.044755661686800785,0.19928374448388597,0.13409969900458346,1.2121800157624572,-0.0647040215898033,0.051129457053137095,0.2299446386868098,0.1569058144789121,1.2314003155186337,-0.08405595937833604
16,2023-10-01,2024-09-30,2024-10-01,2024-12-31,3,0.003718787664597656,0.015178122450707043,0.08806483141992666,-0.18782330338453665,-0.04521746530410115,0.037950970777041126,0.16319092880044006,0.12515271670096073,1.05049400657102,-0.035718246651168434
17,2024-01-01,2024-12-31,2025-01-01,2025-03-31,3,-0.03870259519201791,-0.15600703094695545,0.11544212193546768,-1.5826162606070433,-0.06967048056828211,-0.04670985133412919,-0.18580383159526592,0.16148120315177822,-1.3159264102251809,-0.1003541491600778
18,2024-04-01,2025-03-31,2025-04-01,2025-06-30,3,0.06872556805313401,0.3218685461515094,0.07180520394358542,4.134359765689791,-0.01666104969980467,0.09939531842241767,0.4885908828831358,0.3224079795229792,1.4379013930394795,-0.12052721315892759
19,2024-07-01,2025-06-30,2025-07-01,2025-09-30,3,0.08419568892370788,0.3882850664119313,0.07743315007554905,4.691596119458987,-0.016707041467419116,0.07750339230874714,0.35383479643012516,0.08730324144554656,3.7665817555609142,-0.024140781484711955
20,2024-10-01,2025-09-30,2025-10-01,2025-12-31,3,0.05021785130708056,0.21999733564109403,0.12354250039949184,1.5783826214504568,-0.052550216011365704,0.030802732592596582,0.13102139167616977,0.12575430669512339,0.8430835846696387,-0.050713604177726725
