Date,Strategy,SP500,MSCI_World (URTH)
2020-01-02,100000.0,100000.0,100000.0
2020-01-03,100000.0,99242.75582277682,99156.04826863833
2020-01-06,100000.0,99621.39846968176,99718.70247089458
2020-01-07,100000.0,99341.27116450602,99457.45477318217
2020-01-08,100000.0,99870.69861398042,99738.76920058626
2020-01-09,100000.0,100547.88879690194,100311.46944141238
2020-01-10,100000.0,100258.53081801244,99909.59410202061
2020-01-13,100000.0,100948.06625609014,100552.59971453703
2020-01-14,100000.0,100794.15659293161,100351.6704939905
2020-01-15,100000.0,101021.91164580034,100492.31503396854
2020-01-16,100000.0,101862.25244474085,101296.09950934944
2020-01-17,100000.0,102179.30244477169,101637.7070664714
2020-01-20,100000.0,102179.30244477169,101637.7070664714
2020-01-21,100000.0,101979.2291338976,101105.20787822343
2020-01-22,100000.0,101991.55383076043,101286.0365724809
2020-01-23,100000.0,102108.50996162383,101205.6851622207
2020-01-24,100000.0,101200.48098183119,100532.51608654666
2020-01-27,100000.0,99578.28772852856,98814.43226236705
2020-01-28,100000.0,100621.76502405218,99728.7400603151
2020-01-29,100000.0,100538.65812318817,99758.86972687533
2020-01-30,100000.0,100864.92851778612,99909.59410202061
2020-01-31,99920.0,99033.41072160227,98191.50182869163
2020-02-03,100514.79733998042,99769.08924910217,98723.99256779026
2020-02-04,101860.65533670451,101289.72453325993,100482.28589369736
2020-02-05,103108.98010610702,102459.41947080074,101416.6604213371
2020-02-06,103469.81801680978,102804.17177111958,101778.36005559878
2020-02-07,102740.33860132158,102256.26241592428,101105.20787822343
2020-02-10,103396.88749727275,103019.6432437122,101617.598091033
2020-02-11,103870.74681548531,103198.18174230303,102089.82949701116
2020-02-12,104294.16502970473,103863.06778665508,102602.23660811942
2020-02-13,104149.53657681208,103752.23802720972,102270.67508956732
2020-02-14,104188.86696833388,103918.46210808441,102401.29048927418
2020-02-17,104219.60049778681,103918.46210808441,102401.29048927418
2020-02-18,103798.2832382148,103650.68005806484,102109.92157415088
2020-02-19,104671.45656222121,104146.25827753983,102511.81381184133
2020-02-20,104032.22145040608,103718.399076357,102079.77500929195
2020-02-21,103465.6151437384,102650.26210796105,101366.4302284878
2020-02-24,100735.20217414916,99245.83956677919,97849.90272071902
2020-02-25,98288.53999214938,96238.45934504978,95227.58248460924
2020-02-26,98047.96316297627,95884.44553357713,94946.2427097571
2020-02-27,95085.9066329775,91578.14094231404,91399.57708627875
2020-02-28,93310.77792193054,91193.37192399106,90093.43998750878
2020-03-02,97179.56683590342,95142.65091380586,93670.27752329409
2020-03-03,95946.29289454421,92418.47146210787,91560.33905084453
2020-03-04,99812.03263821916,96303.12545677958,95046.71999375439
2020-03-05,97649.06582825423,93101.82913303416,92163.18585652956
2020-03-06,95847.90157011252,91562.76333888886,90726.43335805273
2020-03-09,89452.28806826181,84412.18802532864,83211.10089796715
2020-03-10,92379.20076343893,88780.10582175919,86958.71264029073
2020-03-11,87815.5712771243,84452.2201620528,82628.34616942184
2020-03-12,79158.91847101704,76372.06563769668,74007.84807685955
2020-03-13,83819.54874923322,82900.8450897647,80006.00903501335
2020-03-16,73366.82805035249,73829.52384731191,70903.25884535108
2020-03-17,77634.48771126794,77815.72553198182,74922.13897650891
2020-03-18,73046.33299578576,73875.68235545412,70752.53869478048
2020-03-19,72634.82015766639,74032.67062304169,71285.04210760313
2020-03-20,70763.88369188203,70842.29075306468,68954.08656204198
2020-03-23,68820.10947696991,69030.9868988164,67708.23836841519
2020-03-24,75764.0480640397,75285.4159261398,73867.17818943347
2020-03-25,77970.00294187765,76412.44212583444,75193.39046704448
2020-03-26,81837.96631964,80874.16741481723,79393.1415382065
2020-03-27,79365.63407882773,78465.28022906873,76981.82190866115
2020-03-30,81274.48977918392,81013.47555012451,79001.3122373846
2020-03-31,79493.7798888189,79805.94307367456,78298.01349515031
2020-04-01,76837.73008485533,76214.28587581516,74751.33942252261
2020-04-02,78058.45612447736,77972.96049908958,76288.56075584739
2020-04-03,77195.36128983271,76845.93429939495,75123.0766462048
2020-04-06,81004.21763038216,82007.38680038329,79865.37294418467
2020-04-07,80991.34264564587,82090.98196071433,80006.00903501335
2020-04-08,82434.16014113871,84846.65671782324,81915.00983776704
2020-04-09,83314.74845686989,86137.77921503091,83412.03856766302
2020-04-13,83107.78002730446,85351.34740082525,82708.73982542874
2020-04-14,85087.14233736235,87868.60249039053,84788.5148347207
2020-04-15,83898.71830295722,86001.57538201935,82869.49334084519
2020-04-16,84685.0538647365,86416.44688137886,83090.51463853144
2020-04-17,85944.86732994775,88751.03639496346,85270.78383011937
2020-04-20,85556.21549039372,87187.39316111925,84055.07797677684
2020-04-21,83452.10387085278,84540.11714526716,81744.20183463139
2020-04-22,85108.2480693321,86416.44688137886,83361.80837481373
2020-04-23,85157.16939356853,86410.23827678741,83321.61577138494
2020-04-24,85945.38934511096,87614.69728838166,84245.96115875352
2020-04-27,86883.38140554253,88877.98385639457,85511.92255239339
2020-04-28,86732.53558916003,88469.27470546647,85562.16964354138
2020-04-29,88450.16000016792,90785.26924271676,87822.78179624015
2020-04-30,87399.56976199234,89939.95333678575,86767.8210091647
2020-05-01,85961.20396685685,87558.96375511208,84527.28403530696
2020-05-04,86380.17258150854,87800.48258537808,84698.10048759196
2020-05-05,87218.07697672825,88611.71284093616,85160.25205840288
2020-05-06,86974.95991357636,88011.04062586023,84597.61475444533
2020-05-07,87942.09769152032,89073.0615019848,85712.86867123861
2020-05-08,88723.10299495331,90546.8444355998,87420.8895585497
2020-05-11,89198.94839489226,90565.41885364077,87471.12820054834
2020-05-12,88416.18533756811,88760.33902270396,85833.42113407693
2020-05-13,87799.46404050264,87190.49746341497,84497.13747044804
2020-05-14,87910.39074702244,88233.94392149856,84899.02125898916
2020-05-15,88374.19944377657,88639.53849098427,85270.78383011937
2020-05-18,89774.0313028069,91339.4694356769,88023.71946593602
2020-05-19,89385.9721929294,90401.31227698106,87079.27355227839
2020-05-20,90343.95182652361,91937.06818589714,88676.79646447036
2020-05-21,89451.63924374363,91302.35143703499,87852.91991194972
2020-05-22,89318.40439007257,91475.71952484851,87873.02043823879
2020-05-25,89318.4510496083,91475.71952484851,87873.02043823879
2020-05-26,89752.53758039234,92602.76628283647,89510.71905556084
2020-05-27,89957.00519765604,93980.60366139092,90806.81011576095
2020-05-28,90207.39513858534,93807.20473613738,90977.6012205979
2020-05-29,90958.68814605009,94225.19595651263,91128.30869744449
2020-06-01,91681.61081450712,94606.01778251259,92092.83823909251
