Date,Portfolio Value,Rebalance,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2020-01-31,100000.0,True,"IWDA.L, VGK, EWJ, MCHI, EWT, XLC, XLF, ITB, XLV, XBI, XLK, SOXX, GLD, SLV",14,0.0076,normal,"rebalance: EWJ peso=0.0000 fuera de [0.0212, 0.0612]"
2020-02-28,93704.21,True,"MCHI, EWT, EWY, XLF, ITB, XLV, XLP, XLU, XLK, SOXX, IGV, BOTZ, LIT, GLD",14,0.0207,normal,"rebalance: BOTZ peso=0.0000 fuera de [0.0185, 0.0585]"
2020-03-31,80009.67,True,"IWDA.L, MCHI, EWT, XLC, ITB, XLV, XBI, XLK, SOXX, IGV, BOTZ, LIT, GLD, DBA, TLT, IEF, TIP, HYG, LQD, EMB",20,0.0,crisis,"rebalance: DBA peso=0.0000 fuera de [0.0175, 0.0575]"
2020-04-30,87519.49,True,"IWDA.L, EWJ, MCHI, EWT, XLC, XLV, XBI, XLP, XLK, SOXX, IGV, CIBR, BOTZ, GLD, DBA, TLT, IEF, TIP, HYG, LQD",20,0.0,crisis,"rebalance: CIBR peso=0.0000 fuera de [0.0072, 0.0472]"
2020-05-29,90549.78,True,"MCHI, EWT, XLY, XLC, XLV, XBI, XLP, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, DBA, TLT, IEF, TIP, HYG, LQD",20,0.0,caution,"rebalance: DBA peso=0.1061 fuera de [0.0424, 0.0824]"
2020-06-30,93071.1,True,"IWDA.L, EWJ, MCHI, XLY, XLC, XLV, XLP, XLU, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, TLT, IEF, TIP, HYG, LQD",20,0.0,caution,"rebalance: DBA peso=0.0599 fuera de [0.0000, 0.0200]"
2020-07-31,99294.72,True,"IWDA.L, EWT, XLY, XLC, XLB, XLV, XBI, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, TLT, IEF, TIP, HYG, LQD, EMB",20,0.0,normal,"rebalance: EMB peso=0.0000 fuera de [0.0787, 0.1187]"
2020-08-31,102745.67,True,"EWT, XLY, XLC, XLB, ITB, XLV, XLP, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, TLT, IEF, TIP, HYG, LQD, EMB",20,0.0,normal,"rebalance: EWT peso=0.0379 fuera de [0.0648, 0.1048]"
2020-09-30,101877.73,True,"IWDA.L, XLY, XLC, IYT, XLB, ITB, XLK, SOXX, IGV, CIBR, BOTZ, LIT, SLV, COPX",14,0.0021,normal,"rebalance: COPX peso=0.0000 fuera de [0.1071, 0.1471]"
2020-10-30,101775.38,True,"INDA, EWT, EWY, XLY, IYT, ITB, SOXX, IGV, BOTZ, LIT, SLV, COPX",12,0.0263,normal,"rebalance: BOTZ peso=0.0309 fuera de [0.0499, 0.0899]"
2020-11-30,114637.39,True,"IEMA.L, MCHI, INDA, EWT, EWY, XLY, XLI, IYT, XLB, ITB, XLU, SOXX, BOTZ, LIT, SLV, COPX",16,0.0028,normal,"rebalance: COPX peso=0.0922 fuera de [0.1050, 0.1450]"
2020-12-31,123967.02,True,"IEMA.L, INDA, EWT, EWY, XLY, XLI, IYT, XLB, ITB, XBI, SOXX, BOTZ, LIT, COPX",14,0.002,normal,"rebalance: EWT peso=0.0323 fuera de [0.0351, 0.0751]"
2021-01-29,125266.45,True,"EWZ, INDA, EWT, EWY, KBE, XLI, IYT, XBI, SOXX, CIBR, BOTZ, LIT, SLV, COPX",14,0.0107,normal,"rebalance: CIBR peso=0.0000 fuera de [0.0484, 0.0884]"
2021-02-26,130868.61,True,"EWJ, IUSN.DE, IEMA.L, INDA, EWT, EWY, KBE, XBI, SOXX, CIBR, BOTZ, LIT, COPX",13,0.0,normal,"rebalance: BOTZ peso=0.0648 fuera de [0.0908, 0.1308]"
2021-03-31,131154.34,True,"IUSN.DE, INDA, EWT, EWY, XLC, XLF, KBE, XLE, XOP, XBI, SOXX, IGV, CIBR, BOTZ, LIT, DBA, COPX",17,0.011,normal,"rebalance: BOTZ peso=0.1089 fuera de [0.0125, 0.0525]"
2021-04-30,137152.15,True,"IUSN.DE, INDA, EWT, EWY, XLC, KBE, XLE, XOP, IYT, XBI, SOXX, CIBR, LIT, COPX",14,0.0164,normal,"rebalance: BOTZ peso=0.0321 fuera de [0.0000, 0.0200]"
2021-05-31,140525.66,True,"VGK, IUSN.DE, EWT, EWY, XLY, XLC, XLF, KBE, XLE, XOP, IYT, ITB, XLK, SOXX, IGV, CIBR, VNQ, LIT, DBA, COPX",20,0.0,normal,"rebalance: DBA peso=0.0000 fuera de [0.0396, 0.0796]"
2021-06-30,141555.58,True,"IWDA.L, VGK, IUSN.DE, INDA, EWT, XLC, XLF, XLE, XOP, IYT, XLB, ITB, SOXX, IGV, CIBR, VNQ, LIT, DBA, COPX",19,0.0097,normal,"rebalance: DBA peso=0.0592 fuera de [0.0095, 0.0495]"
2021-07-30,143152.0,True,"IWDA.L, IUSN.DE, EWT, XLC, XLF, XLE, XOP, XLI, IYT, ITB, XLV, XLK, SOXX, IGV, CIBR, VNQ, DBA",17,0.0172,normal,"rebalance: COPX peso=0.0739 fuera de [0.0000, 0.0200]"
2021-08-31,146636.03,True,"IWDA.L, VGK, IUSN.DE, EWZ, EWT, XLC, XLF, XLE, XLI, ITB, XLV, XLK, SOXX, IGV, CIBR, VNQ, LIT, DBA, COPX, TIP",20,0.0,normal,"rebalance: COPX peso=0.0000 fuera de [0.0141, 0.0541]"
2021-09-30,140184.52,True,"IWDA.L, VGK, EWZ, INDA, EWT, XLY, XLC, XLF, XLB, ITB, XLV, XLU, XLK, SOXX, IGV, CIBR, BOTZ, VNQ, LIT, DBA",20,0.0,normal,"rebalance: COPX peso=0.0329 fuera de [0.0000, 0.0200]"
2021-10-29,147461.36,True,"IWDA.L, EWJ, IUSN.DE, INDA, XLF, XLE, XOP, XLV, XLK, IGV, CIBR, BOTZ, VNQ, LIT, DBA, IEF, TIP, HYG, LQD, EMB",20,0.0,normal,"rebalance: DBA peso=0.0530 fuera de [0.0554, 0.0954]"
2021-11-30,144258.93,True,"IWDA.L, VGK, IUSN.DE, INDA, XLY, XLF, KBE, XLE, XOP, XLV, XLK, SOXX, IGV, CIBR, VNQ, LIT, DBA",17,0.0084,normal,"rebalance: DBA peso=0.0772 fuera de [0.0071, 0.0471]"
2021-12-31,147277.69,True,"IWDA.L, INDA, EWT, XLY, XLF, KBE, XLE, ITB, XLV, XLK, SOXX, CIBR, VNQ, LIT, DBA, TLT, IEF, TIP, HYG, LQD",20,0.0,normal,"rebalance: DBA peso=0.0270 fuera de [0.0610, 0.1010]"
2022-01-31,141919.31,True,"IWDA.L, INDA, EWT, XLY, XLF, KBE, XLE, IYT, XLB, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, VNQ, LIT, DBA, TIP",20,0.0,normal,"rebalance: HYG peso=0.0459 fuera de [0.0000, 0.0200]"
2022-02-28,140577.53,True,"INDA, EWT, XLY, XLF, KBE, XLE, XOP, XLV, XLP, XLU, XLK, CIBR, VNQ, GLD, DBA, IEF, TIP, HYG, LQD, EMB",20,0.0,normal,"rebalance: EMB peso=0.0000 fuera de [0.0574, 0.0974]"
2022-03-31,144044.58,True,"EWT, XLY, XLF, KBE, XLE, XOP, IYT, XLV, XLP, XLK, SOXX, CIBR, GLD, SLV, DBA, COPX, IEF, TIP, HYG, LQD",20,0.0,caution,"rebalance: COPX peso=0.0000 fuera de [0.0562, 0.0962]"
2022-04-29,135986.92,True,"IWDA.L, EWZ, EWT, XLY, XLF, XLE, XOP, XLI, IYT, XLB, XLV, XLP, XLU, XLK, SOXX, CIBR, VNQ, GLD, DBA, COPX",20,0.0,normal,"rebalance: COPX peso=0.0709 fuera de [0.0815, 0.1215]"
2022-05-31,139114.49,True,"IUSN.DE, EWZ, INDA, EWT, EWY, XLE, XOP, XLB, XLV, XLP, XLU, XLK, CIBR, VNQ, GLD, DBA, COPX, IEF, TIP, HYG",20,0.0,caution,"rebalance: CIBR peso=0.0504 fuera de [0.0000, 0.0393]"
2022-06-30,128390.13,True,"VGK, EWZ, INDA, EWT, XLE, XOP, XLB, XLV, XLP, XLU, CIBR, GLD, DBA, COPX, IEF, TIP, HYG, LQD",18,0.0176,caution,"rebalance: COPX peso=0.0317 fuera de [0.0000, 0.0315]"
2022-07-29,133931.58,True,"IUSN.DE, IEMA.L, MCHI, EWZ, INDA, XLE, XOP, XLI, XLV, XLP, XLU, LIT, GLD, DBA, IEF, TIP, HYG, LQD",18,0.0158,normal,"rebalance: EWZ peso=0.1014 fuera de [0.0261, 0.0661]"
2022-08-31,132698.76,True,"IWDA.L, EWJ, IUSN.DE, INDA, XLY, XLE, XOP, XLI, XLV, XLP, XLU, XLK, VNQ, LIT, GLD, DBA, IEF, TIP, HYG, LQD",20,0.0,normal,"rebalance: DBA peso=0.0863 fuera de [0.0000, 0.0321]"
2022-09-30,123070.31,True,"IWDA.L, IUSN.DE, IEMA.L, MCHI, INDA, XLY, XLE, XOP, XLI, XLV, XBI, XLP, XLU, LIT, DBA, IEF, TIP, HYG, LQD, EMB",20,0.0,normal,"rebalance: EMB peso=0.0000 fuera de [0.0084, 0.0484]"
2022-10-31,129195.33,True,"IWDA.L, EWJ, IUSN.DE, IEMA.L, INDA, KBE, XLE, XOP, ITB, XLV, XBI, XLP, LIT, GLD, DBA, IEF, TIP, HYG, LQD, EMB",20,0.0,normal,"rebalance: DBA peso=0.0299 fuera de [0.0607, 0.1007]"
2022-11-30,135157.84,True,"IWDA.L, IUSN.DE, EWZ, INDA, XLF, KBE, XLE, XOP, XLI, ITB, XLV, XBI, XLP, LIT, DBA, IEF, TIP, HYG, LQD, EMB",20,0.0,caution,"rebalance: EMB peso=0.0520 fuera de [0.0000, 0.0306]"
2022-12-30,130089.93,True,"IWDA.L, VGK, EWJ, IUSN.DE, INDA, XLF, KBE, XLE, XOP, XLI, IYT, ITB, XLV, XBI, XLP, SLV, IEF, HYG, LQD, EMB",20,0.0,normal,"rebalance: DBA peso=0.0894 fuera de [0.0000, 0.0200]"
2023-01-31,135491.2,True,"IWDA.L, VGK, EWJ, XLF, XLE, XLI, XLB, ITB, XLV, XBI, XLP, BOTZ, GLD, SLV, COPX, HYG, LQD, EMB",18,0.0172,normal,"rebalance: BOTZ peso=0.0000 fuera de [0.0021, 0.0421]"
2023-02-28,130213.74,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, EWT, EWY, XLF, XLE, XLI, XLB, ITB, BOTZ, GLD, SLV, COPX, EMB, BITO",18,0.0077,normal,"rebalance: BITO peso=0.0000 fuera de [0.0191, 0.0591]"
2023-03-31,134365.96,True,"VGK, EWJ, EWT, XLF, XLE, XLI, XLB, ITB, SOXX, BOTZ, GLD, SLV, COPX, BITO",14,0.0125,normal,"rebalance: BITO peso=0.0462 fuera de [0.0473, 0.0873]"
2023-04-28,135893.4,True,"IWDA.L, VGK, EWJ, MCHI, EWT, EWY, XLC, XLI, IYT, XLB, ITB, XLP, XLK, SOXX, BOTZ, GLD, COPX, BITO",18,0.01,normal,"rebalance: BITO peso=0.0679 fuera de [0.0725, 0.1125]"
2023-05-31,133658.57,True,"IWDA.L, VGK, EWJ, MCHI, EWT, XLC, XLB, ITB, XLP, XLK, SOXX, IGV, BOTZ, GLD, SLV, DBA, COPX, EMB, BITO",19,0.006,normal,"rebalance: BITO peso=0.0859 fuera de [0.0292, 0.0692]"
2023-06-30,141513.98,True,"IWDA.L, VGK, EWJ, EWT, EWY, XLC, ITB, XLK, SOXX, IGV, BOTZ, GLD, SLV, DBA, HYG, BITO",16,0.0,normal,"rebalance: BITO peso=0.0522 fuera de [0.0789, 0.1189]"
2023-07-31,145382.59,True,"IWDA.L, VGK, EWJ, EWZ, XLY, XLC, XLI, IYT, ITB, XLK, SOXX, IGV, BOTZ, DBA, BITO",15,0.0,normal,"rebalance: DBA peso=0.1001 fuera de [0.0219, 0.0619]"
2023-08-31,139094.27,True,"IWDA.L, EWZ, INDA, EWY, XLY, XLC, XOP, XLI, IYT, ITB, XLP, XLK, SOXX, IGV, BOTZ, DBA, BITO",17,0.0048,normal,"rebalance: BITO peso=0.1018 fuera de [0.0195, 0.0595]"
2023-09-29,134077.34,True,"IWDA.L, EWZ, INDA, XLY, XLC, XLE, XOP, XLI, IYT, ITB, XLK, SOXX, IGV, CIBR, GLD, SLV, DBA, BITO",18,0.0,normal,"rebalance: BITO peso=0.0421 fuera de [0.0000, 0.0341]"
2023-10-31,131574.6,True,"IWDA.L, EWJ, EWZ, INDA, XLY, XLC, XLF, XLE, XOP, XLI, ITB, XLK, SOXX, IGV, CIBR, DBA, TIP, HYG, EMB, BITO",20,0.0,normal,"rebalance: BITO peso=0.0184 fuera de [0.0202, 0.0602]"
2023-11-30,141876.42,True,"IWDA.L, EWJ, EWZ, INDA, XLY, XLC, XLF, KBE, XLE, XOP, XLK, SOXX, IGV, CIBR, GLD, DBA, TIP, HYG, EMB, BITO",20,0.0,normal,"rebalance: BITO peso=0.0403 fuera de [0.0501, 0.0901]"
2023-12-29,148127.94,True,"IWDA.L, EWZ, INDA, XLC, XLF, KBE, XOP, XLI, XLB, ITB, XLK, SOXX, IGV, CIBR, GLD, SLV, DBA, HYG, EMB, BITO",20,0.0,normal,"rebalance: EWJ peso=0.0562 fuera de [0.0000, 0.0200]"
2024-01-31,148303.64,True,"IWDA.L, IUSN.DE, IEMA.L, EWZ, INDA, EWT, EWY, XLC, XLF, KBE, XLB, ITB, XLK, SOXX, IGV, CIBR, VNQ, GLD, HYG, BITO",20,0.0,normal,"rebalance: BITO peso=0.0725 fuera de [0.0732, 0.1132]"
2024-02-29,158956.14,True,"IWDA.L, EWJ, EWZ, INDA, XLC, XLF, ITB, XLV, XLK, SOXX, IGV, CIBR, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: BITO peso=0.1260 fuera de [0.0511, 0.0911]"
2024-03-28,165087.06,True,"IWDA.L, VGK, EWJ, EWZ, INDA, XLC, XLF, XLI, IYT, ITB, XLV, XBI, XLP, XLK, SOXX, CIBR, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: DBA peso=0.0509 fuera de [0.0000, 0.0200]"
2024-04-30,156709.13,True,"IWDA.L, VGK, EWJ, EWT, XLC, XLF, KBE, XLI, XLB, ITB, XBI, XLK, SOXX, BOTZ, GLD, COPX, BITO",17,0.0076,normal,"rebalance: BITO peso=0.0679 fuera de [0.0804, 0.1204]"
