combo,MERTON_GAMMA,VIEW_SCALE,BL_TAU,MERTON_MAX_SECTOR,Strategy_Total Return,Strategy_CAGR,Strategy_Volatility,Strategy_Sharpe,Strategy_Max Drawdown,SP500_Total Return,SP500_CAGR,SP500_Volatility,SP500_Sharpe,SP500_Max Drawdown,n_rebalances,beats_sp500,elapsed_s,combo_dir
1,-0.5,0.15,0.05,0.35,1.1905795624677542,0.1397895280361947,0.17782517460487288,0.7044024900099704,-0.3421505971689135,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,14.8,results_optimization\combo_001
2,-0.5,0.15,0.05,0.45,1.179361588525774,0.13881352110229472,0.1786168480666361,0.6958161572634163,-0.3429398840820809,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.9,results_optimization\combo_002
3,-0.5,0.15,0.07,0.35,1.1905795624677542,0.1397895280361947,0.17782517460487288,0.7044024900099704,-0.3421505971689135,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.5,results_optimization\combo_003
4,-0.5,0.15,0.07,0.45,1.179361588525774,0.13881352110229472,0.1786168480666361,0.6958161572634163,-0.3429398840820809,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_004
5,-0.5,0.15,0.1,0.35,1.1905795624677542,0.1397895280361947,0.17782517460487288,0.7044024900099704,-0.3421505971689135,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.4,results_optimization\combo_005
6,-0.5,0.15,0.1,0.45,1.179361588525774,0.13881352110229472,0.1786168480666361,0.6958161572634163,-0.3429398840820809,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.5,results_optimization\combo_006
7,-0.5,0.2,0.05,0.35,1.2118783400717161,0.14163120140165653,0.17722103788633736,0.7171957159234694,-0.34090790529726395,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.7,results_optimization\combo_007
8,-0.5,0.2,0.05,0.45,1.210904033630646,0.14154727775712206,0.1767398308848598,0.718673571560707,-0.33672979319419144,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.5,results_optimization\combo_008
9,-0.5,0.2,0.07,0.35,1.2118783400717161,0.14163120140165653,0.17722103788633736,0.7171957159234694,-0.34090790529726395,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_009
10,-0.5,0.2,0.07,0.45,1.210904033630646,0.14154727775712206,0.1767398308848598,0.718673571560707,-0.33672979319419144,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_010
11,-0.5,0.2,0.1,0.35,1.2118783400717161,0.14163120140165653,0.17722103788633736,0.7171957159234694,-0.34090790529726395,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.8,results_optimization\combo_011
12,-0.5,0.2,0.1,0.45,1.210904033630646,0.14154727775712206,0.1767398308848598,0.718673571560707,-0.33672979319419144,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.7,results_optimization\combo_012
13,-0.5,0.28,0.05,0.35,1.2210032844711085,0.14241570361004174,0.1759352721904444,0.7268961462914835,-0.3337165835356014,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.7,results_optimization\combo_013
14,-0.5,0.28,0.05,0.45,1.2199319064485463,0.14232373291949996,0.17612614763034717,0.7255861913794335,-0.3335178767234736,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.5,results_optimization\combo_014
15,-0.5,0.28,0.07,0.35,1.2210032844711085,0.14241570361004174,0.1759352721904444,0.7268961462914835,-0.3337165835356014,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.8,results_optimization\combo_015
